user_id,review_item_id,rating
7,737,1.5016361
5,858,3.970135
8,1270,3.6479588
7,1270,3.2613819
13,1265,2.0910325
4,1265,2.4116726
3,588,3.0900025
3,593,3.4406226
9,593,2.8841722
5,2294,0.59105515
9,2294,0.2646088
7,34,3.3462427
4,1198,3.215563
7,1198,2.4637575
10,1198,2.1663535
13,1259,3.7939444
8,1259,3.3714888
9,497,1.866151
4,1307,2.8725898
4,1210,4.057078
10,1210,3.437959
13,2804,3.2528322
8,2804,3.6479588
8,33166,3.803117
4,1125,2.2841074
4,1961,4.0480313
13,4718,2.8552535
8,2791,3.6479588
15,111,1.9361172
12,1197,1.4444892
3,1197,2.9385111
9,2628,2.9003835
13,47,3.2322266
9,47,2.560124
2,47,2.8394473
4,185,2.043217
7,355,1.6020559
7,1288,3.2613819
13,1,0.9473666
9,1,0.7432155
7,1,1.2009654
2,52,1.2924368
13,3147,3.1365488
4,440,2.9282234
5,1682,3.0464127
6,8784,2.734557
5,500,3.0887835
8,4995,3.4228053
3,377,2.56965
5,1968,3.312998
3,2694,2.9165075
13,919,3.703361
12,1032,1.7273294
4,2268,1.9605186
1,2105,1.3136227
13,2571,2.7389262
6,2571,3.1152449
8,2571,3.0400264
4,1220,3.2144368
10,1220,2.0820816
4,1225,3.215563
7,1225,2.4637575
4,1136,3.0454767
4,112,3.0507452
3,2841,2.004577
4,903,2.8354385
3,318,3.7102692
9,17,3.0821195
8,1219,3.6479588
6,3114,3.00149
14,594,3.1251018
8,2716,3.5797787
6,173,1.8584735
10,1036,3.2897341
5,1022,3.312998
7,380,1.9568292
7,736,2.5773282
5,2918,3.614967
8,8874,2.7826264
6,1358,2.1435118
4,1374,2.876854
4,2194,3.6175086
8,524,2.4536178
2,589,2.8818278
11,50,4.0985274
8,5669,3.2010717
9,527,2.66875
8,527,2.9176188
8,5989,2.8041348
7,1405,0.39854148
4,1918,2.7878795
5,364,2.7108169
4,364,2.5717976
3,356,3.2068648
5,356,3.9810612
2,356,3.5827227
10,1923,2.4568534
2,62,1.0339495
14,3751,0.81747246
4,480,3.3433812
7,1079,3.2613819
8,2100,3.6479588
5,595,2.410444
6,8636,3.5451808
13,1027,2.0971184
4,141,2.9282234
7,141,3.0757093
2,272,2.098703
8,4963,2.2818704
6,5952,2.4307175
10,1196,3.6776881
5,1544,1.9877988
5,5349,2.161047
3,110,3.2922487
2,110,3.5753622
2,150,3.0648186
7,541,3.2613819
1,1129,1.0336785
3,2028,2.2891915
8,2028,2.1718004
8,7153,2.9654522
2,349,3.1231008
10,2890,1.7645323
11,778,2.8996325
8,2302,2.1718004
8,4886,2.4536178
7,1376,1.9568292
4,616,2.043217
4,410,2.043217
4,1674,3.215563
15,104,1.8965013
